e_id,s_id,c_id,instructor_id,enrollment_date,marks_scored,grade,attendance_percentage,payment_status,tuition_amount
1166,26,101,203,2024-08-20,81,B,89.5,Paid,3200.00
1167,27,110,214,2024-08-25,76,C,86.0,Pending,2900.75
1168,28,115,218,2024-08-30,88,B,92.1,Paid,3640.50
1169,29,103,206,2024-09-05,98,A,99.4,Paid,4180.25
1170,30,108,212,2024-09-10,85,B,91.3,Paid,3500.75
1171,51,113,216,2024-09-15,90,A,95.6,Pending,3750.00
1172,52,106,210,2024-09-20,77,C,84.9,Pending,2950.25
1173,53,111,215,2024-09-25,91,A,96.5,Paid,3880.00
1174,54,104,207,2024-10-01,82,B,88.0,Paid,3300.50
1175,55,109,213,2024-10-05,95,A,98.7,Paid,4050.75
1176,56,102,204,2024-10-10,78,C,86.3,Pending,3020.25
1177,57,107,211,2024-10-15,87,B,93.8,Paid,3680.50
1178,58,112,216,2024-10-20,89,B,94.2,Paid,3720.00
1179,59,105,208,2024-10-25,92,A,96.9,Paid,3900.75
1180,60,110,214,2024-11-01,86,B,91.0,Paid,3400.00
1181,61,115,218,2024-11-05,80,B,89.3,Pending,3150.75
1182,62,103,206,2024-11-10,93,A,97.8,Paid,3960.25
1183,63,108,212,2024-11-15,84,B,90.2,Paid,3350.00
1184,64,113,216,2024-11-20,79,C,87.5,Pending,3050.50
1185,65,106,210,2024-11-25,88,B,92.7,Paid,3650.75
1186,66,111,215,2024-12-01,97,A,98.9,Paid,4200.25
1187,67,104,207,2024-12-05,83,B,90.8,Pending,3280.50
1188,68,109,213,2024-12-10,94,A,97.3,Paid,4030.00
1189,69,102,204,2024-12-15,82,B,88.4,Paid,3240.75
1190,70,107,211,2024-12-20,90,A,94.5,Paid,3700.00
